Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Unit Price,Shipping Cost,Month,Quarter,Year
25,ORD_98777,2023-10-01,2023-10-11,First Class,CUST_7211,Customer CUST_7211,Home Office,United States,City 37,Massachusetts,49446,East,PROD_3851,Office Supplies,Labels,Shipping Labels,233.935,5,0.058,67.128,35.99,20.64,10,4,2023
26,ORD_96356,2023-02-20,2023-02-25,Second Class,CUST_3780,Customer CUST_3780,Corporate,United States,City 33,Michigan,97012,Central,PROD_2389,Technology,Phones,Cordless Phone,4592.256,8,0.153,899.8,478.36,17.52,2,1,2023
27,ORD_69692,2023-10-11,2023-10-22,First Class,CUST_2193,Customer CUST_2193,Consumer,United States,City 37,Pennsylvania,35485,East,PROD_7790,Technology,Machines,Scanner,219.271,1,0.143,30.156,168.67,23.05,10,4,2023
28,ORD_70889,2023-12-15,2023-12-24,Second Class,CUST_9486,Customer CUST_9486,Home Office,United States,City 16,Florida,25906,South,PROD_1822,Office Supplies,Appliances,Desk Fan,233.48,2,0.066,76.656,89.8,17.65,12,4,2023
29,ORD_78327,2023-04-13,2023-04-24,Same Day,CUST_5543,Customer CUST_5543,Home Office,United States,City 16,Indiana,45992,Central,PROD_8939,Furniture,Furnishings,Rug,3629.92,8,0.226,871.23,453.74,46.0,4,2,2023
30,ORD_64377,2023-03-27,2023-04-02,First Class,CUST_2052,Customer CUST_2052,Corporate,United States,City 35,Oregon,71069,West,PROD_7678,Furniture,Bookcases,Corner Bookcase,258.78,3,0.208,50.79,86.26,21.18,3,1,2023
31,ORD_80545,2023-03-02,2023-03-15,Standard Class,CUST_7865,Customer CUST_7865,Home Office,United States,City 39,North Carolina,38906,South,PROD_9947,Furniture,Tables,Dining Table,1587.84,6,0.117,333.01,264.64,13.92,3,1,2023
32,ORD_13534,2023-05-15,2023-05-25,Standard Class,CUST_9751,Customer CUST_9751,Corporate,United States,City 37,North Carolina,96900,South,PROD_7455,Furniture,Bookcases,5-Shelf Bookcase,2456.93,7,0.252,724.39,350.99,14.2,5,2,2023
33,ORD_65255,2022-01-28,2022-02-11,Second Class,CUST_5558,Customer CUST_5558,Consumer,United States,City 6,Nevada,71644,West,PROD_5133,Furniture,Furnishings,Wall Art,882.4,4,0.101,212.61,220.6,18.56,1,1,2022
34,ORD_72070,2022-01-20,2022-01-30,Standard Class,CUST_3068,Customer CUST_3068,Home Office,United States,City 14,Ohio,70952,Central,PROD_2874,Technology,Phones,Smartphone,3649.824,4,0.006,425.42,760.38,6.52,1,1,2022
35,ORD_61990,2023-12-18,2023-12-20,Standard Class,CUST_7149,Customer CUST_7149,Consumer,United States,City 38,Ohio,92213,Central,PROD_4249,Office Supplies,Envelopes,Shipping Envelopes,19.851,1,0.173,7.068,15.27,14.08,12,4,2023
36,ORD_74251,2022-09-06,2022-09-13,Standard Class,CUST_7882,Customer CUST_7882,Corporate,United States,City 24,New Jersey,93307,East,PROD_2729,Furniture,Bookcases,Corner Bookcase,1456.62,6,0.194,238.58,242.77,5.13,9,3,2022
37,ORD_46559,2023-04-16,2023-04-20,First Class,CUST_2419,Customer CUST_2419,Home Office,United States,City 49,Florida,70910,South,PROD_8385,Technology,Accessories,Bluetooth Speaker,4782.5,10,0.256,734.97,478.25,22.8,4,2,2023
38,ORD_82848,2023-08-07,2023-08-16,Same Day,CUST_5526,Customer CUST_5526,Corporate,United States,City 13,Illinois,21221,Central,PROD_1166,Technology,Copiers,Floor Copier,3002.16,6,0.102,779.26,500.36,47.01,8,3,2023
39,ORD_41890,2022-09-05,2022-09-16,Second Class,CUST_7625,Customer CUST_7625,Home Office,United States,City 38,Virginia,58368,South,PROD_6016,Technology,Copiers,Multifunction Copier,5238.08,8,0.005,993.32,654.76,11.53,9,3,2022
40,ORD_34267,2023-04-30,2023-05-04,First Class,CUST_9779,Customer CUST_9779,Corporate,United States,City 48,Virginia,73464,South,PROD_4138,Technology,Machines,Projector,1445.7,5,0.216,211.23,289.14,16.1,4,2,2023
41,ORD_82529,2022-10-11,2022-10-23,First Class,CUST_1893,Customer CUST_1893,Consumer,United States,City 9,Pennsylvania,93606,East,PROD_5786,Technology,Machines,Fax Machine,259.94800000000004,1,0.038,57.972,199.96,12.59,10,4,2022
42,ORD_62521,2023-05-18,2023-05-20,Same Day,CUST_2070,Customer CUST_2070,Corporate,United States,City 37,Indiana,92502,Central,PROD_9056,Furniture,Chairs,Conference Chair,132.96,1,0.259,26.66,132.96,27.85,5,2,2023
43,ORD_59856,2023-12-04,2023-12-12,First Class,CUST_9561,Customer CUST_9561,Consumer,United States,City 20,Arizona,87139,West,PROD_8381,Furniture,Tables,Conference Table,940.0300000000001,7,0.237,235.38,103.3,14.93,12,4,2023
44,ORD_63545,2023-03-16,2023-03-28,Standard Class,CUST_1043,Customer CUST_1043,Consumer,United States,City 39,New Jersey,71592,East,PROD_8381,Office Supplies,Art,Pencils,60.28,2,0.052,13.95,30.14,5.75,3,1,2023
45,ORD_39466,2022-10-26,2022-10-31,Same Day,CUST_9922,Customer CUST_9922,Consumer,United States,City 10,Michigan,19359,Central,PROD_3441,Furniture,Tables,Conference Table,6054.880000000001,10,0.28,1577.4599999999998,465.76,35.63,10,4,2022
46,ORD_88385,2022-03-03,2022-03-10,Standard Class,CUST_2317,Customer CUST_2317,Corporate,United States,City 48,Indiana,52247,Central,PROD_1653,Furniture,Bookcases,Corner Bookcase,1307.88,7,0.15,442.76,186.84,9.94,3,1,2022
47,ORD_86720,2023-09-11,2023-09-22,Standard Class,CUST_3973,Customer CUST_3973,Home Office,United States,City 32,Pennsylvania,21959,East,PROD_8141,Office Supplies,Paper,Cardstock,179.22,3,0.195,52.71,59.74,14.16,9,3,2023
48,ORD_69614,2023-04-27,2023-05-03,Standard Class,CUST_1601,Customer CUST_1601,Consumer,United States,City 17,Michigan,52372,Central,PROD_2442,Office Supplies,Appliances,Coffee Maker,352.88,8,0.284,90.92,44.11,13.14,4,2,2023
49,ORD_36680,2022-04-29,2022-05-08,Same Day,CUST_1845,Customer CUST_1845,Corporate,United States,City 9,New Jersey,47752,East,PROD_5375,Office Supplies,Envelopes,Business Envelopes,136.92,6,0.15,44.43,22.82,36.05,4,2,2022
50,ORD_70482,2023-03-25,2023-04-05,Second Class,CUST_2858,Customer CUST_2858,Home Office,United States,City 10,New York,75323,East,PROD_2924,Technology,Copiers,Floor Copier,393.576,1,0.028,69.02,327.98,19.91,3,1,2023
51,ORD_19150,2022-10-26,2022-11-08,Same Day,CUST_3236,Customer CUST_3236,Consumer,United States,City 27,North Carolina,54548,South,PROD_5526,Technology,Machines,Projector,5118.568,7,0.18,652.6080000000001,562.48,43.66,10,4,2022
52,ORD_82340,2023-06-04,2023-06-11,First Class,CUST_6446,Customer CUST_6446,Home Office,United States,City 30,Massachusetts,52176,East,PROD_9903,Office Supplies,Envelopes,Greeting Card Envelopes,799.2,8,0.134,298.14,99.9,18.3,6,2,2023
53,ORD_74923,2022-07-13,2022-07-16,Same Day,CUST_3492,Customer CUST_3492,Consumer,United States,City 33,Florida,87356,South,PROD_1606,Technology,Accessories,Headphones,5257.63,7,0.199,931.73,751.09,45.52,7,3,2022
54,ORD_95175,2022-12-06,2022-12-20,Same Day,CUST_7512,Customer CUST_7512,Consumer,United States,City 22,New Jersey,98389,East,PROD_2315,Furniture,Furnishings,Floor Lamp,914.5110000000001,3,0.234,139.26,234.49,31.63,12,4,2022
55,ORD_93066,2023-07-01,2023-07-09,Standard Class,CUST_2612,Customer CUST_2612,Home Office,United States,City 11,Virginia,49251,South,PROD_2646,Office Supplies,Storage,File Cabinet,136.5,5,0.224,54.53,27.3,9.34,7,3,2023
56,ORD_20350,2022-01-30,2022-02-09,First Class,CUST_3868,Customer CUST_3868,Corporate,United States,City 44,Massachusetts,41566,East,PROD_7267,Furniture,Bookcases,5-Shelf Bookcase,1039.59,9,0.205,241.61,115.51,14.34,1,1,2022
57,ORD_55293,2023-05-25,2023-06-05,First Class,CUST_8237,Customer CUST_8237,Corporate,United States,City 28,Nevada,42780,West,PROD_5901,Technology,Accessories,Headphones,5401.36,8,0.203,1513.69,675.17,14.05,5,2,2023
58,ORD_45976,2023-04-13,2023-04-23,Standard Class,CUST_7484,Customer CUST_7484,Consumer,United States,City 44,North Carolina,16428,South,PROD_1132,Office Supplies,Binders,Binder Dividers,593.3,10,0.21,153.77,59.33,5.22,4,2,2023
59,ORD_67779,2023-09-13,2023-09-23,First Class,CUST_6061,Customer CUST_6061,Consumer,United States,City 24,Ohio,27224,Central,PROD_1546,Technology,Copiers,Floor Copier,1891.11,3,0.271,426.73,630.37,20.4,9,3,2023
60,ORD_48684,2022-04-03,2022-04-16,Second Class,CUST_8894,Customer CUST_8894,Consumer,United States,City 8,Florida,71385,South,PROD_6549,Office Supplies,Storage,Desk Organizer,277.15,5,0.077,101.46,55.43,17.9,4,2,2022
61,ORD_86619,2022-03-19,2022-04-02,First Class,CUST_5295,Customer CUST_5295,Consumer,United States,City 41,Virginia,58689,South,PROD_7242,Furniture,Tables,Dining Table,506.34,9,0.111,88.47,56.26,21.74,3,1,2022
62,ORD_15943,2022-04-21,2022-04-26,First Class,CUST_3290,Customer CUST_3290,Home Office,United States,City 32,Texas,25220,South,PROD_1609,Technology,Accessories,Charger,5251.68,8,0.091,1480.33,656.46,17.31,4,2,2022
63,ORD_46666,2022-04-10,2022-04-22,First Class,CUST_7686,Customer CUST_7686,Home Office,United States,City 24,North Carolina,38477,South,PROD_1536,Furniture,Tables,Dining Table,942.9,3,0.196,308.41,314.3,22.84,4,2,2022
64,ORD_22015,2023-03-31,2023-04-11,First Class,CUST_8450,Customer CUST_8450,Home Office,United States,City 41,Illinois,88269,Central,PROD_4475,Office Supplies,Binders,Binder Clips,53.75,5,0.037,12.79,10.75,23.02,3,1,2023
65,ORD_46342,2022-01-22,2022-01-25,Second Class,CUST_1046,Customer CUST_1046,Consumer,United States,City 35,Washington,42853,West,PROD_3370,Furniture,Bookcases,Corner Bookcase,572.88,4,0.07,179.09,143.22,17.29,1,1,2022
66,ORD_72422,2022-06-28,2022-07-11,First Class,CUST_2041,Customer CUST_2041,Consumer,United States,City 24,California,77271,West,PROD_8344,Furniture,Chairs,Conference Chair,285.5,5,0.223,45.82,57.1,18.84,6,2,2022
67,ORD_74260,2023-08-31,2023-09-02,Standard Class,CUST_2768,Customer CUST_2768,Home Office,United States,City 6,Arizona,52219,West,PROD_8267,Furniture,Furnishings,Wall Art,256.12,1,0.144,41.53,256.12,9.02,8,3,2023
68,ORD_66370,2023-09-15,2023-09-19,First Class,CUST_4522,Customer CUST_4522,Corporate,United States,City 27,Oregon,54424,West,PROD_8398,Furniture,Chairs,Conference Chair,2541.7,10,0.238,599.94,254.17,13.49,9,3,2023
69,ORD_22219,2023-04-10,2023-04-12,Same Day,CUST_2398,Customer CUST_2398,Corporate,United States,City 48,Massachusetts,58843,East,PROD_8075,Office Supplies,Appliances,Coffee Maker,121.68,3,0.142,41.05,40.56,27.28,4,2,2023
70,ORD_37884,2022-05-14,2022-05-25,Same Day,CUST_9313,Customer CUST_9313,Corporate,United States,City 31,Illinois,39392,Central,PROD_3535,Technology,Phones,Conference Phone,871.39,1,0.18,255.91,871.39,33.79,5,2,2022
71,ORD_89822,2022-04-21,2022-04-22,First Class,CUST_1430,Customer CUST_1430,Home Office,United States,City 12,Illinois,45818,Central,PROD_5381,Office Supplies,Envelopes,Business Envelopes,735.21,9,0.246,290.34,81.69,19.98,4,2,2022
72,ORD_54681,2023-12-21,2023-12-27,Second Class,CUST_8432,Customer CUST_8432,Consumer,United States,City 20,Illinois,52517,Central,PROD_3578,Office Supplies,Storage,Filing Tray,15.093,1,0.159,3.048,11.61,12.51,12,4,2023
73,ORD_45804,2023-08-05,2023-08-18,Second Class,CUST_7785,Customer CUST_7785,Home Office,United States,City 33,Pennsylvania,24918,East,PROD_4531,Technology,Phones,Smartphone,3410.6,5,0.127,643.32,682.12,15.28,8,3,2023
74,ORD_27987,2022-12-20,2022-12-25,Same Day,CUST_4460,Customer CUST_4460,Home Office,United States,City 21,Wisconsin,25726,Central,PROD_5186,Office Supplies,Paper,Cardstock,84.721,7,0.016,31.044,9.31,30.11,12,4,2022
75,ORD_70260,2022-01-08,2022-01-22,Second Class,CUST_1307,Customer CUST_1307,Corporate,United States,City 21,Florida,85465,South,PROD_2275,Office Supplies,Labels,File Labels,315.12,6,0.259,67.57,52.52,8.51,1,1,2022
76,ORD_21551,2023-03-16,2023-03-30,Standard Class,CUST_6928,Customer CUST_6928,Corporate,United States,City 7,Georgia,41891,South,PROD_8155,Technology,Copiers,Desktop Copier,3481.3439999999996,3,0.185,755.06,967.04,13.32,3,1,2023
77,ORD_55793,2023-03-23,2023-04-04,First Class,CUST_4176,Customer CUST_4176,Home Office,United States,City 42,Connecticut,29358,East,PROD_6752,Technology,Copiers,Color Copier,867.708,3,0.19,83.35,241.03,18.9,3,1,2023
78,ORD_99277,2022-08-30,2022-09-13,Second Class,CUST_8354,Customer CUST_8354,Home Office,United States,City 41,Ohio,51436,Central,PROD_6295,Furniture,Tables,Conference Table,784.2,2,0.232,145.41,392.1,13.93,8,3,2022
79,ORD_20057,2022-06-04,2022-06-14,First Class,CUST_5703,Customer CUST_5703,Corporate,United States,City 39,North Carolina,76462,South,PROD_2479,Office Supplies,Paper,Copy Paper,76.86,2,0.136,20.14,38.43,12.74,6,2,2022
80,ORD_76132,2023-01-29,2023-01-30,Second Class,CUST_2381,Customer CUST_2381,Corporate,United States,City 16,Connecticut,67377,East,PROD_3827,Office Supplies,Art,Highlighters,52.63,1,0.243,15.27,52.63,18.05,1,1,2023
81,ORD_22387,2023-03-26,2023-03-31,First Class,CUST_6401,Customer CUST_6401,Corporate,United States,City 17,Michigan,96057,Central,PROD_7333,Technology,Accessories,Bluetooth Speaker,9361.199999999999,10,0.189,861.8,780.1,16.35,3,1,2023
82,ORD_94343,2023-09-10,2023-09-24,Second Class,CUST_7171,Customer CUST_7171,Corporate,United States,City 9,New Jersey,97833,East,PROD_6381,Furniture,Bookcases,5-Shelf Bookcase,3398.22,7,0.213,597.37,485.46,9.02,9,3,2023
83,ORD_30308,2023-12-21,2023-12-26,First Class,CUST_3253,Customer CUST_3253,Consumer,United States,City 7,Virginia,76543,South,PROD_2264,Technology,Phones,Cordless Phone,1695.9279999999999,4,0.23,263.544,326.14,14.5,12,4,2023
84,ORD_67366,2023-07-07,2023-07-14,Second Class,CUST_3712,Customer CUST_3712,Home Office,United States,City 24,Wisconsin,98652,Central,PROD_1715,Technology,Phones,Conference Phone,526.2,3,0.231,140.11,175.4,17.71,7,3,2023
85,ORD_70513,2022-09-01,2022-09-14,Second Class,CUST_8218,Customer CUST_8218,Home Office,United States,City 25,Indiana,75916,Central,PROD_5616,Office Supplies,Art,Pencils,275.2,8,0.058,104.79,34.4,16.14,9,3,2022
86,ORD_47363,2023-06-25,2023-07-08,Second Class,CUST_3042,Customer CUST_3042,Corporate,United States,City 11,Arizona,45755,West,PROD_2374,Office Supplies,Binders,3-Ring Binder,395.46,6,0.031,122.95,65.91,18.15,6,2,2023
87,ORD_59140,2023-04-06,2023-04-07,Second Class,CUST_2337,Customer CUST_2337,Corporate,United States,City 21,Texas,22987,South,PROD_4678,Technology,Accessories,Headphones,6525.47,7,0.151,722.05,932.21,10.83,4,2,2023
88,ORD_12490,2023-10-28,2023-11-01,Standard Class,CUST_2298,Customer CUST_2298,Corporate,United States,City 10,Washington,81932,West,PROD_5193,Office Supplies,Envelopes,Shipping Envelopes,277.407,3,0.141,90.072,71.13,11.15,10,4,2023
89,ORD_88215,2023-09-16,2023-09-17,Second Class,CUST_9189,Customer CUST_9189,Corporate,United States,City 41,Massachusetts,77551,East,PROD_9782,Technology,Copiers,Desktop Copier,500.92,7,0.187,114.1,71.56,8.75,9,3,2023
90,ORD_18870,2023-08-12,2023-08-21,Standard Class,CUST_6908,Customer CUST_6908,Home Office,United States,City 33,Indiana,76535,Central,PROD_9618,Furniture,Tables,Coffee Table,1107.75,7,0.2,207.66,158.25,10.23,8,3,2023
91,ORD_86271,2023-07-22,2023-07-25,Same Day,CUST_2698,Customer CUST_2698,Corporate,United States,City 3,Texas,56176,South,PROD_6447,Furniture,Furnishings,Wall Art,2317.74,6,0.103,713.18,386.29,43.32,7,3,2023
92,ORD_15741,2023-07-14,2023-07-15,Same Day,CUST_4302,Customer CUST_4302,Home Office,United States,City 21,Nevada,50642,West,PROD_4268,Office Supplies,Envelopes,Business Envelopes,164.18,2,0.283,56.35,82.09,25.92,7,3,2023
93,ORD_67272,2023-06-12,2023-06-24,Standard Class,CUST_7029,Customer CUST_7029,Home Office,United States,City 29,Georgia,60678,South,PROD_7553,Office Supplies,Envelopes,Business Envelopes,32.18,1,0.1,12.01,32.18,6.24,6,2,2023
94,ORD_20494,2022-12-14,2022-12-25,First Class,CUST_2680,Customer CUST_2680,Consumer,United States,City 19,Georgia,50173,South,PROD_6372,Furniture,Furnishings,Rug,1111.76,10,0.054,358.176,85.52,15.82,12,4,2022
95,ORD_19835,2023-04-02,2023-04-08,First Class,CUST_1939,Customer CUST_1939,Corporate,United States,City 33,Nevada,99051,West,PROD_7655,Technology,Copiers,Desktop Copier,4401.84,6,0.13,981.48,733.64,20.31,4,2,2023
96,ORD_99006,2022-06-13,2022-06-19,Second Class,CUST_3513,Customer CUST_3513,Consumer,United States,City 24,Texas,68188,South,PROD_8371,Furniture,Tables,Conference Table,2401.98,6,0.285,534.27,400.33,8.39,6,2,2022
97,ORD_44311,2022-03-20,2022-04-01,First Class,CUST_2929,Customer CUST_2929,Home Office,United States,City 29,Indiana,38124,Central,PROD_5264,Technology,Accessories,Headphones,644.088,2,0.056,56.46,268.37,18.73,3,1,2022
98,ORD_97535,2023-09-19,2023-10-01,Standard Class,CUST_6236,Customer CUST_6236,Consumer,United States,City 5,Florida,82089,South,PROD_6692,Office Supplies,Labels,Address Labels,383.52,8,0.243,153.2,47.94,14.68,9,3,2023
99,ORD_82616,2023-07-10,2023-07-18,First Class,CUST_6912,Customer CUST_6912,Home Office,United States,City 36,Washington,27009,West,PROD_7044,Office Supplies,Storage,Storage Box,66.12,4,0.071,23.7,16.53,18.42,7,3,2023
100,ORD_71057,2023-09-19,2023-09-25,Same Day,CUST_8372,Customer CUST_8372,Home Office,United States,City 9,Indiana,82260,Central,PROD_9476,Furniture,Chairs,Guest Chair,3961.2,10,0.292,652.61,396.12,41.06,9,3,2023
101,ORD_47230,2023-10-18,2023-10-23,Standard Class,CUST_9501,Customer CUST_9501,Consumer,United States,City 13,Nevada,93238,West,PROD_2292,Technology,Accessories,Charger,1253.9279999999999,3,0.213,190.43999999999997,321.52,8.46,10,4,2023
102,ORD_83874,2023-07-19,2023-08-02,Standard Class,CUST_6531,Customer CUST_6531,Home Office,United States,City 2,Wisconsin,20646,Central,PROD_1674,Office Supplies,Binders,5-Ring Binder,612.2,10,0.198,141.32,61.22,12.21,7,3,2023
103,ORD_48985,2022-02-16,2022-02-18,Same Day,CUST_7653,Customer CUST_7653,Home Office,United States,City 45,Arizona,17852,West,PROD_8430,Technology,Machines,Printer,5514.372,9,0.287,725.76,510.59,37.07,2,1,2022
104,ORD_58567,2022-06-11,2022-06-20,Second Class,CUST_3142,Customer CUST_3142,Corporate,United States,City 7,North Carolina,51827,South,PROD_9437,Office Supplies,Appliances,Space Heater,208.2,6,0.258,72.21,34.7,19.7,6,2,2022
105,ORD_52917,2022-09-05,2022-09-09,Second Class,CUST_3616,Customer CUST_3616,Consumer,United States,City 49,Indiana,30885,Central,PROD_6123,Office Supplies,Paper,Copy Paper,68.67,7,0.125,25.6,9.81,19.55,9,3,2022
106,ORD_16624,2023-05-26,2023-06-03,Same Day,CUST_1797,Customer CUST_1797,Consumer,United States,City 39,Georgia,95755,South,PROD_5609,Technology,Copiers,Desktop Copier,8519.4,9,0.072,1631.01,946.6,39.58,5,2,2023
107,ORD_57516,2023-11-20,2023-11-22,Same Day,CUST_4189,Customer CUST_4189,Consumer,United States,City 25,New York,76093,East,PROD_5728,Office Supplies,Storage,Desk Organizer,674.401,7,0.12,170.064,74.11,39.26,11,4,2023
108,ORD_62610,2023-04-07,2023-04-08,Standard Class,CUST_9341,Customer CUST_9341,Corporate,United States,City 3,Pennsylvania,15100,East,PROD_9193,Technology,Machines,Fax Machine,4800.12,6,0.11,1015.54,800.02,6.44,4,2,2023
109,ORD_87820,2022-05-21,2022-05-30,Same Day,CUST_5902,Customer CUST_5902,Consumer,United States,City 33,Virginia,79774,South,PROD_6511,Technology,Machines,Scanner,3447.7,10,0.118,564.41,344.77,40.41,5,2,2022
110,ORD_88238,2023-05-17,2023-05-22,First Class,CUST_1436,Customer CUST_1436,Corporate,United States,City 42,Texas,85821,South,PROD_8775,Technology,Machines,Printer,9804.0,10,0.27,1583.69,980.4,23.34,5,2,2023
111,ORD_36724,2023-08-15,2023-08-24,Same Day,CUST_7765,Customer CUST_7765,Consumer,United States,City 50,Florida,90147,South,PROD_7723,Furniture,Chairs,Ergonomic Chair,128.42,2,0.132,24.16,64.21,35.47,8,3,2023
112,ORD_54869,2023-04-28,2023-05-04,Second Class,CUST_9734,Customer CUST_9734,Home Office,United States,City 44,Arizona,99226,West,PROD_9950,Technology,Phones,Cordless Phone,7985.36,8,0.094,1637.76,998.17,10.08,4,2,2023
113,ORD_51555,2023-10-21,2023-10-27,Second Class,CUST_9011,Customer CUST_9011,Corporate,United States,City 36,Florida,45842,South,PROD_8861,Technology,Machines,Fax Machine,1587.625,5,0.211,372.576,244.25,16.28,10,4,2023
